"('Series Replay', 'map_name')","['gameMetadata', 'map']"
"('Series Replay', 'id')",
"('Series Replay', 'created')",
"('Series Replay', 'match_guid')","['gameMetadata', 'matchGuid']"
"('Series Replay', 'title')","['gameMetadata', 'id']"
"('Series Replay', 'date')","['gameMetadata', 'time']"
"('Series Replay', 'duration')","['gameMetadata', 'length']"
"('Series Replay', 'overtime')","['FROM_DF', 'game', 'is_overtime']"
"('Series Replay', 'overtime_seconds')","['FROM_DF', 'game', 'seconds_remaining']"
"('Team', 'color')",
"('Team', 'name')",
"('Team Stats Core', 'goals')",
"('Team Stats Core', 'goals_against')",
"('Team Stats Ball', 'possession_time')",
"('Team Stats Ball', 'time_in_side')",
"('Player Data', 'name')",
"('Player Data', 'start_time')",
"('Player Data', 'end_time')",
"('Player Data', 'car_name')",
"('Player Data', 'car_id')",
"('Player Data', 'steering_sensitivity')",
"('Player ID', 'id')",
"('Player ID', 'platform')",
"('Player Camera', 'fov')",
"('Player Camera', 'height')",
"('Player Camera', 'pitch')",
"('Player Camera', 'distance')",
"('Player Camera', 'stiffness')",
"('Player Camera', 'swivel_speed')",
"('Player Camera', 'transition_speed')",
"('Player Stats Core', 'shots')",
"('Player Stats Core', 'goals')",
"('Player Stats Core', 'saves')",
"('Player Stats Core', 'assists')",
"('Player Stats Core', 'score')",
"('Player Stats Core', 'mvp')",
"('Player Stats Core', 'shooting_percentage')",
"('Player Stats Boost', 'bpm')",
"('Player Stats Boost', 'bcpm')",
"('Player Stats Boost', 'avg_amount')",
"('Player Stats Boost', 'amount_collected')",
"('Player Stats Boost', 'amount_stolen')",
"('Player Stats Boost', 'amount_collected_big')",
"('Player Stats Boost', 'amount_stolen_big')",
"('Player Stats Boost', 'amount_collected_small')",
"('Player Stats Boost', 'amount_stolen_small')",
"('Player Stats Boost', 'count_collected_big')",
"('Player Stats Boost', 'count_stolen_big')",
"('Player Stats Boost', 'count_collected_small')",
"('Player Stats Boost', 'count_stolen_small')",
"('Player Stats Boost', 'amount_overfill')",
"('Player Stats Boost', 'amount_overfill_stolen')",
"('Player Stats Boost', 'amount_used_while_supersonic')",
"('Player Stats Boost', 'time_zero_boost')",
"('Player Stats Boost', 'percent_zero_boost')",
"('Player Stats Boost', 'time_full_boost')",
"('Player Stats Boost', 'percent_full_boost')",
"('Player Stats Boost', 'time_boost_0_25')",
"('Player Stats Boost', 'time_boost_25_50')",
"('Player Stats Boost', 'time_boost_50_75')",
"('Player Stats Boost', 'time_boost_75_100')",
"('Player Stats Boost', 'percent_boost_0_25')",
"('Player Stats Boost', 'percent_boost_25_50')",
"('Player Stats Boost', 'percent_boost_50_75')",
"('Player Stats Boost', 'percent_boost_75_100')",
"('Player Stats Movement', 'avg_speed')",
"('Player Stats Movement', 'total_distance')",
"('Player Stats Movement', 'time_supersonic_speed')",
"('Player Stats Movement', 'time_boost_speed')",
"('Player Stats Movement', 'time_slow_speed')",
"('Player Stats Movement', 'time_ground')",
"('Player Stats Movement', 'time_low_air')",
"('Player Stats Movement', 'time_high_air')",
"('Player Stats Movement', 'time_powerslide')",
"('Player Stats Movement', 'count_powerslide')",
"('Player Stats Movement', 'avg_powerslide_duration')",
"('Player Stats Movement', 'avg_speed_percentage')",
"('Player Stats Movement', 'percent_slow_speed')",
"('Player Stats Movement', 'percent_boost_speed')",
"('Player Stats Movement', 'percent_supersonic_speed')",
"('Player Stats Movement', 'percent_ground')",
"('Player Stats Movement', 'percent_low_air')",
"('Player Stats Movement', 'percent_high_air')",
"('Player Stats Positioning', 'avg_distance_to_ball')",
"('Player Stats Positioning', 'avg_distance_to_ball_possession')",
"('Player Stats Positioning', 'avg_distance_to_ball_no_possession')",
"('Player Stats Positioning', 'avg_distance_to_mates')",
"('Player Stats Positioning', 'time_defensive_third')",
"('Player Stats Positioning', 'time_neutral_third')",
"('Player Stats Positioning', 'time_offensive_third')",
"('Player Stats Positioning', 'time_defensive_half')",
"('Player Stats Positioning', 'time_offensive_half')",
"('Player Stats Positioning', 'time_behind_ball')",
"('Player Stats Positioning', 'time_infront_ball')",
"('Player Stats Positioning', 'time_most_back')",
"('Player Stats Positioning', 'time_most_forward')",
"('Player Stats Positioning', 'goals_against_while_last_defender')",
"('Player Stats Positioning', 'time_closest_to_ball')",
"('Player Stats Positioning', 'time_farthest_from_ball')",
"('Player Stats Positioning', 'percent_defensive_third')",
"('Player Stats Positioning', 'percent_offensive_third')",
"('Player Stats Positioning', 'percent_neutral_third')",
"('Player Stats Positioning', 'percent_defensive_half')",
"('Player Stats Positioning', 'percent_offensive_half')",
"('Player Stats Positioning', 'percent_behind_ball')",
"('Player Stats Positioning', 'percent_infront_ball')",
"('Player Stats Positioning', 'percent_most_back')",
"('Player Stats Positioning', 'percent_most_forward')",
"('Player Stats Positioning', 'percent_closest_to_ball')",
"('Player Stats Positioning', 'percent_farthest_from_ball')",
"('Player Stats Demo', 'inflicted')",
"('Player Stats Demo', 'taken')",
'percent_neutral_third')",[None]
"('Player Stats Positioning', 'percent_defensive_half')",[None]
"('Player Stats Positioning', 'percent_offensive_half')",[None]
"('Player Stats Positioning', 'percent_behind_ball')",[None]
"('Player Stats Positioning', 'percent_infront_ball')",[None]
"('Player Stats Positioning', 'percent_most_back')",[None]
"('Player Stats Positioning', 'percent_most_forward')",[None]
"('Player Stats Positioning', 'percent_closest_to_ball')",[None]
"('Player Stats Positioning', 'percent_farthest_from_ball')",[None]
"('Player Stats Demo', 'inflicted')",[None]
"('Player Stats Demo', 'taken')",[None]
